"Family","ScientificName","CommonName","TeleostOrElasmo","Lifestyle","MROriginLocation","MRSampleSize","MRCitation","MRMassGrams","MRTempCelcius","WholeOrganismMRWatts","Amat","Amax","ReproOutput","Rmax","DFtype","MRtype"
"Pleuronectidae","Pseudopleuronectes americanus","Winter flounder","Teleost","Benthic","Around Rhode Island, USA",3,"Voyer, R. A., & Morrison, G. E. (1971). Factors affecting respiration rates of winter flounder (Pseudopleuronectes americanus).ÊJournal of the Fisheries Board of Canada,Ê28(12), 1907-1911.",24.3,9.9,0.005234625,3,16,25.8157246077805,0.470986105085553,"BigN","RMR"
"Pleuronectidae","Pseudopleuronectes americanus","Winter flounder","Teleost","Benthic","Around Rhode Island, USA",3,"Voyer, R. A., & Morrison, G. E. (1971). Factors affecting respiration rates of winter flounder (Pseudopleuronectes americanus).ÊJournal of the Fisheries Board of Canada,Ê28(12), 1907-1911.",21.4,10.7,0.005029,3,16,25.8157246077805,0.470986105085553,"MeanT","RMR"
"Dasyatidae","Pteroplatytrygon violacea","Pelagic stingray","Elasmo","Pelagic","Eastern Pacific, off Southern California",9,"Ezcurra, J. M. (2001). The mass-specific routine metabolic rate of captive pelagic stingrays, Dasyatis violacea, with comments on energetics. Thesis through Moss Landing Marine Laboratories",15488.8888888889,20,3.01182527777778,3,11,3,0.479655920071003,"Both","RMR"
"Rachycentridae","Rachycentron canadum","Cobia","Teleost","Pelagic","University of Miami hatchery",8,"Nelson, D., Stieglitz, J. D., Cox, G. K., Heuer, R. M., Benetti, D. D., Grosell, M., & Crossley II, D. A. (2017). Cardio-respiratory function during exercise in the cobia, Rachycentron canadum: The impact of crude oil exposure.ÊComparative Biochemistry and Physiology Part C: Toxicology & Pharmacology,Ê201, 58-65.",382.94,25,0.228426901166667,2,11,45.101609071646,0.920934074713849,"Both","RMR"
"Pleuronectidae","Reinhardtius hippoglossoides","Greenland halibut","Teleost","Benthopelagic","St Lawrence Estuary, Canada",14,"Dupont-Prinet, A., Vagner, M., Chabot, D., & Audet, C. (2013). Impact of hypoxia on the metabolism of Greenland halibut (Reinhardtius hippoglossoides).ÊCanadian Journal of Fisheries and Aquatic Sciences,Ê70(3), 461-469.",1465,5,0.103397258333333,12.5,33,716.399279465416,0.20773157116676,"Both","RMR"
"Rhinopteridae","Rhinoptera bonasus","Cownose ray","Elasmo","Benthopelagic","NW Florida Coast (Northern Gulf of Mexico GOM)",6,"Neer, J. A. (2005) Aspects of the life history, ecophysiology, bioenergetics, and population dynamics of the cownose ray, Rhinoptera bonasus, in ther northern Gulf of Mexico. Louisiana State University. ",4825,21.85,1.6371895138259,4.5,18,0.5,0.123988105450475,"BigN","RMR"
"Rhinopteridae","Rhinoptera bonasus","Cownose ray","Elasmo","Benthopelagic","NW Florida Coast (Northern Gulf of Mexico GOM)",4,"Neer, J. A. (2005) Aspects of the life history, ecophysiology, bioenergetics, and population dynamics of the cownose ray, Rhinoptera bonasus, in ther northern Gulf of Mexico. Louisiana State University. ",850,19.575,0.2374528125,4.5,18,0.5,0.123988105450475,"MeanT","RMR"
"Rajidae","Rostroraja eglanteria","Clearnose skate","Elasmo","Benthic","mid-Atalntic estuaries, eastern shore of Virginia",18,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",1289.69444444444,20,0.316889455336389,5,8,15.25,0.531295223140556,"Both","RMR"
"Clupeidae","Sardinops sagax","South African pilchard","Teleost","Pelagic","South Africa",10,"Van der Lingen, C. D. (1995). Respiration rate of adult pilchard Sardinops sagax in relation to temperature, voluntary swimming speed and feeding behaviour.ÊMarine Ecology Progress Series,Ê129, 41-54.",146.4,16.2,0.0051606,2,10,11.0657949502161,0.731001530273461,"BigN","RMR"
"Clupeidae","Sardinops sagax","Pacific sardine","Teleost","Pelagic","off coast of Peru, possibly near IMARPE (Callao, central Peru)",NA,"Villavicencio, Z., Lazo, F., & Contreras, G. (1981). Estudio del metabolismo estandar, requerimiento total de energia y actividad en juveniles de sardina (Sardinops sagax).",3.2,15,0.00066789037037037,2,10,11.0657949502161,0.731001530273461,"MeanT","RMR"
"Scombridae","Scomber japonicus","Chub mackerel","Teleost","Pelagic","Southern California, USA (near Dana Point Harbor)",13,"Sepulveda, C. H. U. G. E. Y., & Dickson, K. A. (2000). Maximum sustainable speeds and cost of swimming in juvenile kawakawa tuna (Euthynnus affinis) and chub mackerel (Scomber japonicus).ÊJournal of Experimental Biology,Ê203(20), 3089-3101.",97.3076923076923,24,0.0654384615384615,2,11,20.7649084691963,0.882490388765889,"BigN","RMR"
"Scombridae","Scomber japonicus","Chub mackerel","Teleost","Pelagic","La Jolla, California",9,"Guo, C., Ito, S. I., Wegner, N. C., Frank, L. N., Dorval, E., Dickson, K. A., & Klinger, D. H. (2020). Metabolic measurements and parameter estimations for bioenergetics modelling of Pacific Chub Mackerel Scomber japonicus.ÊFisheries Oceanography,Ê29(3), 215-226.",93.2,14,0.03131986,2,11,20.7649084691963,0.882490388765889,"MeanT","RMR"
"Scombridae","Scomber scombrus","Atlantic mackerel","Teleost","Pelagic","West coast of Scotland",37,"Lucas, M. C., Johnstone, A. D. F., & Tang, J. (1993). An annular respirometer for measuring aerobic metabolic rates of large, schooling fishes.ÊJournal of experimental biology,Ê175(1), 325-331.",413,9.9,0.0779660770863333,2,23,1.23445633862007,0.281714432772858,"Both","RMR"
"Scophthalmidae","Scophthalmus maximus","Turbot","Teleost","Benthic","Farm in Noirmoutier Island, France",NA,"Mallekh, R. & Lagardre, J. P. (2002). Effect of temperature and dissolved oxygen concentration on the metabolic rate of the turbot and the relationship between metabolic scope and feeding demand. Journal of Fish Biology 60, 1105âÃÃ¬1115. doi: 10.1006/jfbi.2002.1919",450,14,0.0525225,2,17,138.336034290167,0.3304774591437,"Both","RMR"
"Scyliorhinidae","Scyliorhinus canicula","Lesser spotted dogfish","Elasmo","Benthic","Plymouth, UK",36,"Sims, D. W. (1996) The effect of body size on the standard metabolic rate of the lesser spotted dogfish. Journal of Fish Biology 48, 542-544.",322.671105744444,15,0.0499288859651157,7,12,22.75,0.460906915915813,"Both","RMR"
"Scyliorhinidae","Scyliorhinus stellaris","Nursehound","Elasmo","Benthic","Bay of Naples, Italy",12,"Randall, D. J., Heisler, N., & Drees, F. (1976). Ventilatory response to hypercapnia in the larger spotted dogfish Scyliorhinus stellaris.ÊAmerican Journal of Physiology-Legacy Content,Ê230(3), 590-594.",1735,17.5,0.32618,4,19,6.75,0.572431322642875,"Both","RMR"
"Sebastidae","Sebastes flavidus","Yellowtail rockfish","Teleost","Benthopelagic","Cordell Bank, California",20,"Hopkins, T. E., Eldridge, M. B., & Cech, J. J. (1995). Metabolic costs of viviparity in yellowtail rockfish, Sebastes flavidus.ÊEnvironmental biology of fishes,Ê43, 77-84.",1224.4,10,0.236389861465355,7,64,4.61697216760426,0.264964353064367,"Both","RMR"
"Sebastidae","Sebastolobus alascanus","Shortspine thornyhead","Teleost","Benthic","southern California",16,"Yang, T. H., & Somero, G. N. (1993). Effects of feeding and food deprivation on oxygen consumption, muscle protein concentration and activities of energy metabolism enzymes in muscle and brain of shallow-living (Scorpaena guttata) and deep-living (Sebastolobus alascanus) scorpaenid fishes.ÊJournal of Experimental Biology,Ê181(1), 213-232.",356.424966725,9,0.0158052034219427,9,80,1.23862332645119,0.101662913218561,"Both","RMR"
"Sebastidae","Sebastolobus altivelis","Longspine thornyhead","Teleost","Benthic","US West Coast",6,"Smith, K. L., and N. O. Brown. ""Oxygen consumption of pelagic juveniles and demersal adults of the deep-sea fish Sebastolobus altivelis, measured at depth.""Â¬â Marine BiologyÂ¬â 76.3 (1983): 325-332.",103.633333333333,5.7,0.00170007009722222,13.5,45,6.02243188798403,0.0442773460339349,"Both","RMR"
"Carangidae","Seriola quinqueradiata","Yellowtail","Teleost","Pelagic","raised at a marine farm of Kuroi Fisheries Co-operative in Yamaguchi Prefecture",47,"Yamamoto, K. et al. (1981) Gas exchange in the gills of yellowtail, Seriola quinqueradiata under resting and normoxic condition. Bulletin of the Japanese Society of Scientific Fisheries 47, 447-451",989,19.2,3.427426904748,2,12,18.6782551916898,0.709471880907262,"Both","RMR"
"Soleidae","Solea solea","Common sole","Teleost","Benthic","Gironde estuary, Bay of Biscay, France",8,"Lefranois, C. and Claireaux, G. (2003) Influence of ambient oxygenation and temperature on metabolic scope and scope for heart rate in the common sole Solea solea. Marine Ecology Progress Series 259, 271-287",150,16,0.0191040212625,3,26,4.04591652827061,0.285558705103503,"Both","RMR"
"Somniosidae","Somniosus microcephalus","Greenland shark","Elasmo","Benthopelagic","Nunavut, Canadian Arctic",1,"Ste-Marie, E., Watanabe, Y. Y., Semmens, J. M., Marcoux, M., & Hussey, N. E. (2020). A first look at the metabolic rate of Greenland sharks (Somniosus microcephalus) in the Canadian Arctic.ÊScientific reports,Ê10(1), 19297.",40800,4.9,1.967138,183,392,40.75,0.0347845171720394,"Both","RMR"
"Somniosidae","Somniosus pacificus","Pacific sleeper shark","Elasmo","Benthopelagic","Resurrection Bay, Gulf of Alaska",1,"Smith, T. R., Bishop, A., Guthridge, J., Hocking, R., Horning, M., & Lowe, C. G. (2022). Capture, husbandry, and oxygen consumption rate of juvenile Pacific sleeper sharks (Somniosus pacificus).ÊEnvironmental Biology of Fishes,Ê105(11), 1519-1534.",40000,7.6,2.24033333333333,135,200,23.5,0.040340401435296,"Both","RMR"
"Sphyrnidae","Sphyrna lewini","Scalloped hammerhead","Elasmo","Pelagic","Kaneohe Bay (21Â¬â26.1'N; 157Â¬â46.8'W) ",17,"Lowe, C. G. (2001). Metabolic rates of juvenile scalloped hammerhead sharks (Sphyrna lewini). Marine Biology 139, 447-453. ",690.1176471,21,0.435176686300475,5.8,18.6,11,0.477554538731363,"Both","RMR"
"Sphyrnidae","Sphyrna tiburo","Bonnethead shark ","Elasmo","Benthopelagic","St. Andrew Bay System, FL ",8,"Carlson, J. K. & Parsons, G. R. (2003). Respiratory and hematological responses of the bonnethead shark, Sphyrna tiburo, to acute changes in dissolved oxygen. Journal of Experimental Marine Biology and Ecology 294, 15-26. ",1000,28.5,0.67915,4,12,5.5,0.49437418996086,"Both","RMR"
"Clupeidae","Sprattus sprattus","Sprat","Teleost","Pelagic","Kiel Fjord (Wendtorf harbour)",25,"Meskendahl, L., Herrmann, J.-P., and Temming, A. (2010) Effects of temperature and body mass on metabolic rates of sprat, Sprattus sprattus L. Marine Biology 157, 1917-1927",3.26,12.4,0.002030165,0.5,6,12.3607118243148,2.08066972087493,"BigN","RMR"
"Clupeidae","Sprattus sprattus","Sprat","Teleost","Pelagic","Kiel Fjord (Wendtorf harbour)",20,"Meskendahl, L., Herrmann, J.-P., and Temming, A. (2010) Effects of temperature and body mass on metabolic rates of sprat, Sprattus sprattus L. Marine Biology 157, 1917-1927",3.14,15.1,0.00242277166666667,0.5,6,12.3607118243148,2.08066972087493,"MeanT","RMR"
"Squalidae","Squalus acanthias","Spiny dogfish","Elasmo","Benthopelagic","Long Beach Island, New Jersey",23,"Andres, A. M. (2022).ÊThe Effects of Temperature and Oxygen Availability on Aerobic Performance in Three Coastal Shark Species; Squalus acanthias, Carcharhinus limbatus, and Carcharhinus leucasÊ(Doctoral dissertation, University of South Florida).",2400,21,0.384048858939169,9.1,40,1.125,0.159589731279543,"BigN","RMR"
"Squalidae","Squalus acanthias","Spiny dogfish","Elasmo","Benthopelagic","Long Beach Island, New Jersey",21,"Andres, A. M. (2022).ÊThe Effects of Temperature and Oxygen Availability on Aerobic Performance in Three Coastal Shark Species; Squalus acanthias, Carcharhinus limbatus, and Carcharhinus leucasÊ(Doctoral dissertation, University of South Florida).",2400,17,0.357900044073598,9.1,40,1.125,0.159589731279543,"MeanT","RMR"
"Squalidae","Squalus suckleyi","Pacific spiny dogfish","Elasmo","Benthopelagic","Northumberland Channel, BC",5,"Brett, J. R. and Blackburn, J. M. (1978). Metabolic rate and energy expenditure of the spiny dogfish, Squalus acanthias. J. Fish. Res. Board Can. 35, 816-821.",1854,10,0.2352726,35.5,80,1.63,0.0672989670965966,"Both","RMR"
"Tetraodontinae","Takifugu rubripes","Japanese pufferfish","Teleost","Benthopelagic","Yashima Bay, Japan",NA,"Vichkovitten, T., & Inoue, H. (1997). Dissolved oxygen environments of the fish farm in Yashima Bay, Japan II. Respiration of globefish (Takifugu rubripes).ÊAgriculture and Natural Resources,Ê31(4), 465-472.",538,20,0.34075,2,12,49.1130976012141,1.26785630019076,"Both","RMR"
"Scombridae","Thunnus albacares","Yellowfin tuna","Teleost","Pelagic","Hawaii",12,"Dewar, H., & Graham, J. B. (1994). Studies of tropical tuna swimming performance in a large water tunnel: I. Energetics.ÊJournal of Experimental Biology,Ê192(1), 13-31.",2170,27.5,2.15028916666667,1,9.7,4.95795311165511,0.750451715812365,"BigN","RMR"
"Scombridae","Thunnus albacares","Yellowfin tuna","Teleost","Pelagic","San Diego, California",5,"Blank, J. M., Farwell, C. J., Morrissette, J. M., Schallerta, R. J., and Block, B. A. (2007) Influence of swimming speed on metabolic rates of juvenile Pacific bluefin tuna and yellowfin tuna. Physiological and Biochemical Zoology: Ecological and Evolutionary Approaches 80, 167-177",5400,23.5,1.92465,1,9.7,4.95795311165511,0.750451715812365,"MeanT","RMR"
"Scombridae","Thunnus obesus","Bigeye tuna","Teleost","Pelagic","Hawaii",3,"Bushnell, P. G., Brill, R. W., & Bourke, R. E. (1990). Cardiorespiratory responses of skipjack tuna (Katsuwonus pelamis), yellowfin tuna (Thunnus albacares), and bigeye tuna (Thunnus obesus) to acute reductions of ambient oxygen.ÊCanadian Journal of Zoology,Ê68(9), 1857-1865.",2030,28.5,2.56811916666667,3,16,2.24378566682839,0.0433449203053923,"Both","RMR"
"Scombridae","Thunnus orientalis","Pacific bluefin tuna","Teleost","Pelagic","San Diego, California",6,"Blank, J. M., Farwell, C. J., Morrissette, J. M., Schallerta, R. J., and Block, B. A. (2007) Influence of swimming speed on metabolic rates of juvenile Pacific bluefin tuna and yellowfin tuna. Physiological and Biochemical Zoology: Ecological and Evolutionary Approaches 80, 167-177",8300,23.5,3.901,3,26,81.27915471519,0.743348292518265,"Both","RMR"
"Torpedinidae","Torpedo marmorata","Marbled electric ray","Elasmo","Benthic","Gulf of Gascony",8,"Hughes, G. M. (1978). On the respiration of Tropedo marmorata. J. Exp. Biol. 73, 85-105.",1885.375,16.1875,0.248311154049479,12.5,20,2.75,0.151359676287202,"Both","RMR"
"Carangidae","Trachurus capensis","Cape horse mackerel","Teleost","Pelagic","Sea Point, Cape Town",5,"Geist, S. J., Ekau, W., & Kunzmann, A. (2013). Energy demand of larval and juvenile Cape horse mackerels, Trachurus capensis, and indications of hypoxia tolerance as benefit in a changing environment.ÊMarine biology,Ê160, 3221-3232.",12.74,18,0.0212048333333333,2,15,1.81022672180609,0.040070969822718,"Both","RMR"
"Carangidae","Trachurus trachurus","Atlantic horse mackerel","Teleost","Pelagic","Northwest Shetland",56,"Wardle, C. S., Soofiani, N. M., O'Neill, F. G., Glass, C. W., & Johnstone, A. D. F. (1996). Measurements of aerobic metabolism of a school of horse mackerel at different swimming speeds.ÊJournal of fish biology,Ê49(5), 854-862.",359.6,12.1,0.0553655143333333,2.5,40,1.18384382579466,0.222544069528646,"Both","RMR"
"Carcharhinidae","Triaenodon obesus","Whitetip reef shark","Elasmo","Benthic","Kaneohe Bay, Hawaii",2,"Whitney, N. M., Papastamatiou, Y. P., Holland, K. N., & Lowe, C. G. (2007). Use of an acceleration data logger to measure diel activity patterns in captive whitetip reef sharks, Triaenodon obesus.ÊAquatic Living Resources,Ê20(4), 299-305.",1540,27.2,0.420873265825791,8,16,1.4,0.153457430113857,"Both","RMR"
"Triakidae","Triakis semifasciata","Leopard shark","Elasmo","Benthopelagic","Tomales Bay, mid California",10,"Miklos, P., Katzman, S. M., & Cech Jr., J. J. (2003). Effect of temperature on oxygen consumption of the leopard shark, Triakis semifasciata. Environmental Biology of Fishes 66, 15-18. ",970,14,0.243938839916667,10,25,9.35,0.289261637926501,"BigN","RMR"
"Triakidae","Triakis semifasciata","Leopard shark","Elasmo","Benthopelagic","California",NA,"Scharold, J., Lai, N. C., Lowell, W. R., & Graham, J. B. (1989). Metabolic rate, heart rate, and tailbeat frequency during sustained swimming in the leopard shark Triakis semifasciata.ÊExperimental biology,Ê48(4), 223-230.",4000,16,1.645,10,25,9.35,0.289261637926501,"MeanT","RMR"
"Urotrygonidae","Urobatis halleri","Round stingray","Elasmo","Benthic","Long Beach, California",33,"Data from MSc Thesis: Garay, D. L. S. (2020). Effects of Temperature and Body-Mass on the Standard Metabolic Rates of the Round Stingray, Urobatis Halleri (Cooper, 1863). California State University, Long Beach. ",265.454545454545,23,0.195907533989899,3.8,14,1.75,0.313689897192163,"BigN","RMR"
"Urotrygonidae","Urobatis halleri","Round stingray","Elasmo","Benthic","Long Beach, California",33,"Data from MSc Thesis: Garay, D. L. S. (2020). Effects of Temperature and Body-Mass on the Standard Metabolic Rates of the Round Stingray, Urobatis Halleri (Cooper, 1863). California State University, Long Beach. ",258.818181818182,15,0.0789204903282828,3.8,14,1.75,0.313689897192163,"MeanT","RMR"
"Rajidae","Amblyraja radiata","Thorny skate","Elasmo","Benthic","Gulf of Maine",15,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",1439.33333333333,5,0.236146096066378,11,28,7.5,0.253487417475029,"BigN","MMR"
"Rajidae","Amblyraja radiata","Thorny skate","Elasmo","Benthic","Gulf of Maine",8,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",1322.5,13,0.260558841952083,11,28,7.5,0.253487417475029,"MeanT","MMR"
"Ammodytidae","Ammodytes tobianus","Lesser sand-eel","Teleost","Benthic","Helsingor",7,"Behrens, J. W. and Steffensen, J. F. (2007) The effect of hypoxia on behavioural and physiological aspects of lesser sandeel, Ammodytes tobianus (Linnaeus, 1785). Marine Biology 150: 1365-1377",3.3,10,0.00623502,1,7,24.1166611920648,2.24938025162531,"Both","MMR"
"Anoplopomatidae","Anoplopoma fimbria","Sablefish","Teleost","Pelagic","west coast of Vancouver Island",5,"Furnell, D. J. (1987). Partitioning of locomotor and feeding metabolism in sablefish (Anoplopoma fimbria).ÊCanadian journal of zoology,Ê65(3), 486-489.",993,8.5,2.302436,4,92,3.63908306494826,0.473253628115845,"Both","MMR"
"Carcharhinidae","Carcharhinus leucas","Bull shark","Elasmo","Pelagic","Alafia River, Florida",9,"Andres, A. M. (2022).ÊThe Effects of Temperature and Oxygen Availability on Aerobic Performance in Three Coastal Shark Species; Squalus acanthias, Carcharhinus limbatus, and Carcharhinus leucasÊ(Doctoral dissertation, University of South Florida).",2750,29.63,5.82939041666667,9.5,27,2.25,0.190907874016428,"BigN","MMR"
"Carcharhinidae","Carcharhinus leucas","Bull shark","Elasmo","Pelagic","Alafia River, Florida",6,"Andres, A. M. (2022).ÊThe Effects of Temperature and Oxygen Availability on Aerobic Performance in Three Coastal Shark Species; Squalus acanthias, Carcharhinus limbatus, and Carcharhinus leucasÊ(Doctoral dissertation, University of South Florida).",2810,21.91,4.36161175,9.5,27,2.25,0.190907874016428,"MeanT","MMR"
"Carcharhinidae","Carcharhinus limbatus","Blacktip shark","Elasmo","Pelagic","Terra Ceia Bay Florida",8,"Andres, A. M. (2022).ÊThe Effects of Temperature and Oxygen Availability on Aerobic Performance in Three Coastal Shark Species; Squalus acanthias, Carcharhinus limbatus, and Carcharhinus leucasÊ(Doctoral dissertation, University of South Florida).",1290,33.74,3.35496105,6.4,23.5,1.13,0.186202621399858,"BigN","MMR"
"Carcharhinidae","Carcharhinus limbatus","Blacktip shark","Elasmo","Pelagic","Terra Ceia Bay Florida",6,"Andres, A. M. (2022).ÊThe Effects of Temperature and Oxygen Availability on Aerobic Performance in Three Coastal Shark Species; Squalus acanthias, Carcharhinus limbatus, and Carcharhinus leucasÊ(Doctoral dissertation, University of South Florida).",1130,22.18,2.73959083333333,6.4,23.5,1.13,0.186202621399858,"MeanT","MMR"
"Carcharhinidae","Carcharhinus melanopterus","Blacktip reef shark","Elasmo","Benthopelagic","Moorea, French Polynesia",8,"Bouyoucos, I. A., Weideli, O. C., Planes, S., Simpfendorfer, C. A., & Rummer, J. L. (2018). Dead tired: evaluating the physiological status and survival of neonatal reef sharks under stress.ÊConservation physiology,Ê6(1), coy053.",1020,30,1.29002545,8.5,25,1,0.14078988953422,"Both","MMR"
"Carcharhinidae","Carcharhinus plumbeus","Sandbar shark","Elasmo","Pelagic","mid-Atlantic estuaries, eastern shore of Virginia",14,"Crear, D. P., Brill, R. W., Bushnell, P. G., Latour, R. J., Schwieterman, G. D., Steffen, R. M., & Weng, K. C. (2019). The impacts of warming and hypoxia on the performance of an obligate ram ventilator.ÊConservation physiology,Ê7(1), coz026.",5075,24,5.00438836607143,18,40,2.1,0.116185294945653,"Both","MMR"
"Serranidae","Centropristis striata","Black sea bass","Teleost","Benthopelagic","northern stock, coast of New Jersey, USA (Sea Girt Reef and Sandy Hook)",14,"Slesinger, E., Andres, A., Young, R., Seibel, B., Saba, V., Phelan, B., ... & Saba, G. (2019). The effect of ocean warming on black sea bass (Centropristis striata) aerobic scope and hypoxia tolerance.ÊPLoS One,Ê14(6), e0218390.",328.9285714,29.64642857,0.611149128973334,2,15,13.8653404158325,0.728775581779795,"BigN","MMR"
"Serranidae","Centropristis striata","Black sea bass","Teleost","Benthopelagic","northern stock, coast of New Jersey, USA (Sea Girt Reef and Sandy Hook)",10,"Slesinger, E., Andres, A., Young, R., Seibel, B., Saba, V., Phelan, B., ... & Saba, G. (2019). The effect of ocean warming on black sea bass (Centropristis striata) aerobic scope and hypoxia tolerance.ÊPLoS One,Ê14(6), e0218390.",349.845,13.1445,0.39021988260625,2,15,13.8653404158325,0.728775581779795,"MeanT","MMR"
"Clupeidae","Clupea pallasii","Pacific herring","Teleost","Pelagic","Prince William Sound, Alaska",23,"Incardona, J. P., Carls, M. G., Holland, L., Linbo, T. L., Baldwin, D. H., Myers, M. S., ... & Scholz, N. L. (2015). Very low embryonic crude oil exposures cause lasting cardiac defects in salmon and herring.ÊScientific reports,Ê5(1), 13499.",1.3,8.5,0.0092872,2.5,19,21.7251781250149,0.938711380239313,"Both","MMR"
"Moronidae","Dicentrarchus labrax","European bass","Teleost","Pelagic","ële de R (Charente Maritime, France)",19,"Chatelier, A., McKenzie, D. J., & Claireaux, G. (2005). Effects of changes in water salinity upon exercise and cardiac performance in the European seabass (Dicentrarchus labrax).ÊMarine Biology,Ê147(4), 855-862.",514,14,0.6824635,5.5,30,7.5047021174903,0.135111749311967,"Both","MMR"
"Engraulidae","Engraulis ringens","Peruvian anchovetta","Teleost","Pelagic","off coast of Peru, possibly near IMARPE (Callao, central Peru)",NA,"Villavicencio, R. (1981). Investigacin preliminar de los requerimientos energticos de anchoveta adulta (metabolismo estndar y actividad).",12.6,15,0.0475508985,0.5,3,68.6807511188851,1.71781992605084,"Both","MMR"
"Gadidae","Gadus macrocephalus","Pacific cod","Teleost","Benthopelagic","Kodiak Island, Gulf of Alaska",8,"Hanna, S. K., Haukenes, A. H., Foy, R. J., & Buck, C. L. (2008). Temperature effects on metabolic rate, swimming performance and condition of Pacific cod Gadus macrocephalus Tilesius.ÊJournal of Fish Biology,Ê72(4), 1068-1078.",1500,11,1.07659671833649,4.4,25,104.236628079937,0.584832624875259,"Both","MMR"
"Gadidae","Gadus morhua","Atlantic cod","Teleost","Benthopelagic","Oresund, Helsingor",12,"Schurmann, H., & Steffensen, J. F. (1997). Effects of temperature, hypoxia and activity on the metabolism of juvenile Atlantic cod.ÊJournal of fish biology,Ê50(6), 1166-1180.",371.1,10,0.330520215,2.9,15,350.864044834248,0.917509351721204,"BigN","MMR"
"Gadidae","Gadus morhua","Atlantic cod","Teleost","Benthopelagic","Oresund, Helsingor",11,"Schurmann, H., & Steffensen, J. F. (1997). Effects of temperature, hypoxia and activity on the metabolism of juvenile Atlantic cod.ÊJournal of fish biology,Ê50(6), 1166-1180.",298.4,15,0.290430233333333,2.9,15,350.864044834248,0.917509351721204,"MeanT","MMR"
"Hemiscylliidae","Hemiscyllium ocellatum","Epaulette shark","Elasmo","Benthic","GBR (but hatched and held in MA, USA)",14,"Wheeler, C. R., Rummer, J. L., Bailey, B., Lockwood, J., Vance, S., & Mandelman, J. W. (2021). Future thermal regimes for epaulette sharks (Hemiscyllium ocellatum): growth and metabolic performance cease to be optimal.ÊScientific Reports,Ê11(1), 454.",20.0357142857143,27,0.0115755946308682,4,8,10,0.571428261078155,"Both","MMR"
"Heterodontidae","Heterodontus francisci","Horn shark","Elasmo","Benthic","La Jolla, California",19,"From pers. comm. by T. Prinzing; Prinzing, T. S., Bigman, J. S., Skelton, Z. R., Dulvy, N. K., & Wegner, N. C. (2023). The allometric scaling of oxygen supply and demand in the California horn shark, Heterodontus francisci.ÊJournal of Experimental Biology,Ê226(15).",1746.61578947368,18,1.75431082529134,5,22,7,0.484793285371664,"Both","MMR"
"Heterodontidae","Heterodontus portusjacksoni","Portjackson shark","Elasmo","Benthic","Jervis bay NSW",16,"Gervais, C. R., & Brown, C. (2021). Impact of conspecific necromones on the oxygen uptake rates of a benthic elasmobranch.ÊAnimal Behaviour,Ê174, 1-8.",82.40625,20.6,0.074022888671875,12.5,33,8,0.235347955699171,"BigN","MMR"
"Heterodontidae","Heterodontus portusjacksoni","Portjackson shark","Elasmo","Benthic","Jervis bay NSW",13,"Gervais, C. R., & Brown, C. (2021). Impact of conspecific necromones on the oxygen uptake rates of a benthic elasmobranch.ÊAnimal Behaviour,Ê174, 1-8.",89.8615384615385,17.6,0.0651058048782051,12.5,33,8,0.235347955699171,"MeanT","MMR"
"Lamnidae","Isurus oxyrinchus","Mako shark","Elasmo","Pelagic","Southern California, USA ",1,"Sepulveda, C. A., Graham, J. B., & Bernal, D. (2007). Aerobic metabolic rates of swimming juvenile mako sharks, Isurus oxyrinchus.ÊMarine Biology,Ê152, 1087-1094.",5900,20,10.2832083333333,11,31,3,0.192516801635039,"Both","MMR"
"Scombridae","Katsuwonus pelamis","Skipjack tuna","Teleost","Pelagic","Kewalo Research Facility, Hawaii",18,"Dewar, H., & Graham, J. B. (1994). Studies of tropical tuna swimming performance in a large water tunnel: I. Energetics.ÊJournal of Experimental Biology,Ê192(1), 13-31.",1700,27.5,14.6483333333333,1,12,5.28394128430019,1.31217988143934,"Both","MMR"
"Rajidae","Leucoraja erinacea","Little skate","Elasmo","Benthic","Gulf of Maine",7,"Di Santo, V. (2016). Intraspecific variation in physiological performance of a benthic elasmobranch challenged by ocean acidification and warming.ÊJournal of Experimental Biology,Ê219(11), 1725-1733.",26.1428571428571,20,0.0227166666666667,9.5,18,23,0.366249111181448,"BigN","MMR"
